Country	InDelta_Citation_ij	Year	Field
Hispanic	-0.492269194111961	1984.0	142724271
Black	-0.7910862806435663	1985.0	142724271
Hispanic	-0.556022752129594	1985.0	142724271
White	0.5936405081846463	1985.0	142724271
API	0.4333660690553932	1985.0	142724271
API	0.3888216152126029	1986.0	142724271
White	0.8357580502265581	1986.0	142724271
Black	-0.6361675691767431	1986.0	142724271
Hispanic	-0.5884120962624159	1986.0	142724271
API	0.3697459703757026	1987.0	142724271
White	1.0593336776377311	1987.0	142724271
Black	-0.867303935060762	1987.0	142724271
Hispanic	-0.5617757129526729	1987.0	142724271
API	0.5594296968937349	1988.0	142724271
White	0.9478568712617628	1988.0	142724271
Black	-1.0726922139075563	1988.0	142724271
Hispanic	-0.4345943542479404	1988.0	142724271
API	0.5785379961418228	1989.0	142724271
White	0.9730483034878724	1989.0	142724271
Black	-1.021025013590539	1989.0	142724271
Hispanic	-0.5305612860391543	1989.0	142724271
API	0.5970387613999145	1990.0	142724271
White	0.8059713727951711	1990.0	142724271
Black	-0.9512312769258032	1990.0	142724271
Hispanic	-0.4517788572692809	1990.0	142724271
API	0.6214483531927569	1991.0	142724271
White	0.7918286320499738	1991.0	142724271
Black	-0.949123260575473	1991.0	142724271
Hispanic	-0.4641537246672567	1991.0	142724271
Black	-0.4702006778418214	1992.0	142724271
Hispanic	-0.1970475111622433	1992.0	142724271
White	0.8465659221987292	1992.0	142724271
API	0.7496413801876728	1992.0	142724271
API	0.7613264319024292	1993.0	142724271
White	0.9029941763487676	1993.0	142724271
Black	-1.19269550906111	1993.0	142724271
Hispanic	-0.4716250991900845	1993.0	142724271
API	0.5967209886417951	1994.0	142724271
White	0.8847700491601844	1994.0	142724271
Black	-1.0030354083557034	1994.0	142724271
Hispanic	-0.4784556294462767	1994.0	142724271
API	0.6471614629742385	1995.0	142724271
White	0.8009238784869158	1995.0	142724271
Black	-1.0696400199156078	1995.0	142724271
Hispanic	-0.3784453215455457	1995.0	142724271
API	0.6549307551428871	1996.0	142724271
White	0.8469591701043067	1996.0	142724271
Black	-1.035850518151479	1996.0	142724271
Hispanic	-0.4660394070957153	1996.0	142724271
API	0.7485340115400457	1997.0	142724271
White	0.828859287510071	1997.0	142724271
Black	-1.1566745853818714	1997.0	142724271
Hispanic	-0.4207187136682466	1997.0	142724271
API	0.6160445289761777	1998.0	142724271
White	0.8200349726648174	1998.0	142724271
Black	-0.949772070781332	1998.0	142724271
Hispanic	-0.486307430859661	1998.0	142724271
API	0.6546714943432036	1999.0	142724271
White	0.8801705479276198	1999.0	142724271
Black	-1.1067569424517598	1999.0	142724271
Hispanic	-0.4280850998190648	1999.0	142724271
API	0.6283572115724047	2000.0	142724271
White	0.7354024211118498	2000.0	142724271
Black	-0.8343992155289796	2000.0	142724271
Hispanic	-0.5293604171552749	2000.0	142724271
API	0.7572040990204908	2001.0	142724271
White	0.8848984127082294	2001.0	142724271
Black	-1.1466655226736335	2001.0	142724271
